Preset Number,CC18+Op1 Detune+(0-127),CC27+Op1 Multiple+(0-127),CC19+Op1 Level+(0-127),CC29+Op1 Attack+(0-127),CC21+Op1 Decay+(0-127),CC25+Op1 Sustain+(0-127),CC17+Op1 Sustain Rate+(0-127),CC30+Op1 Release+(0-127),CC31+Op2 Detune+(0-127),CC32+Op2 Multiple+(0-127),CC40+Op2 Level+(0-127),CC36+Op2 Attack+(0-127),CC44+Op2 Decay+(0-127),CC42+Op2 Sustain+(0-127),CC34+Op2 Sustain Rate+(0-127),CC11+Op2 Release+(0-127),CC20+Op3 Detune+(0-127),CC24+Op3 Multiple+(0-127),CC16+Op3 Level+(0-127),CC49+Op3 Attack+(0-127),CC50+Op3 Decay+(0-127),CC51+Op3 Sustain+(0-127),CC45+Op3 Sustain Rate+(0-127),CC37+Op3 Release+(0-127),CC47+Op4 Detune+(0-127),CC39+Op4 Multiple+(0-127),CC38+Op4 Level+(0-127),CC46+Op4 Attack+(0-127),CC33+Op4 Decay+(0-127),CC41+Op4 Sustain+(0-127),CC43+Op4 Sustain Rate+(0-127),CC35+Op4 Release+(0-127),CC7+Volume+(0-127),CC4+Algorithm+(1-8),CC3+Feedback+(0-127),CC28+Fat+(0-127),CC15+LFO1 Rate+(0-127),CC12+LFO1 Depth+(0-127),CC10+LFO2 Rate+(0-127),CC9+LFO2 Depth+(0-127),CC14+LFO3 Rate+(0-127),CC2+LFO3 Depth+(0-127),CC6+Arp Rate+(0-127),CC5+Arp Range+(0-127),CC48+Vibrato Rate+(0-127),CC13+Vibrato Depth+(0-127),CC78+Voice Mode+(0-5),CC78+Voice Mode Name+(0-5),CC78+Octave Offset+(10-13),CC78+Op1 Rate Scaling+(20-23),CC78+Op2 Rate Scaling+(30-33),CC78+Op3 Rate Scaling+(40-43),CC78+Op4 Rate Scaling+(50-53),CC78+Op1 Envelope Mode+(25-27),CC78+Op1 Envelope Mode Name+(25-27),CC78+Op2 Envelope Mode+(35-37),CC78+Op2 Envelope Mode Name+(35-37),CC78+Op3 Envelope Mode+(45-47),CC78+Op3 Envelope Mode Name+(45-47),CC78+Op4 Envelope Mode+(55-57),CC78+Op4 Envelope Mode Name+(55-57),CC70+Arp Mode+(85-92),CC70+Arp Mode Name+(85-92),CC70+LFO1 Shape+(0-5),CC70+LFO1 Shape Name+(0-5),CC70+LFO1 Retrig+(6-7),CC70+LFO1 Loop+(8-9),CC70+LFO2 Shape+(16-21),CC70+LFO2 Shape Name+(16-21),CC70+LFO2 Retrig+(22-23),CC70+LFO2 Loop+(24-25),CC70+LFO3 Shape+(32-37),CC70+LFO3 Shape Name+(32-37),CC70+LFO3 Retrig+(38-39),CC70+LFO3 Loop+(40-41),CC75+Glide+(0-127),CC76+Fine+(0-127),CC71+LFO1 Link Op1 Detune+(0-1),CC71+LFO1 Link Op1 Multiple+(2-3),CC71+LFO1 Link Op1 Level+(4-5),CC71+LFO1 Link Op1 Attack+(8-9),CC71+LFO1 Link Op1 Decay+(10-11),CC71+LFO1 Link Op1 Sustain Rate+(12-13),CC71+LFO1 Link Op1 Sustain+(14-15),CC71+LFO1 Link Op1 Release+(16-17),CC71+LFO1 Link Op3 Detune+(18-19),CC71+LFO1 Link Op3 Multiple+(20-21),CC71+LFO1 Link Op3 Level+(22-23),CC71+LFO1 Link Op3 Attack+(26-27),CC71+LFO1 Link Op3 Decay+(28-29),CC71+LFO1 Link Op3 Sustain Rate+(30-31),CC71+LFO1 Link Op3 Sustain+(32-33),CC71+LFO1 Link Op3 Release+(34-35),CC71+LFO1 Link Op2 Detune+(36-37),CC71+LFO1 Link Op2 Multiple+(38-39),CC71+LFO1 Link Op2 Level+(40-41),CC71+LFO1 Link Op2 Attack+(44-45),CC71+LFO1 Link Op2 Decay+(46-47),CC71+LFO1 Link Op2 Sustain Rate+(48-49),CC71+LFO1 Link Op2 Sustain+(50-51),CC71+LFO1 Link Op2 Release+(52-53),CC71+LFO1 Link Op4 Detune+(54-55),CC71+LFO1 Link Op4 Multiple+(56-57),CC71+LFO1 Link Op4 Level+(58-59),CC71+LFO1 Link Op4 Attack+(62-63),CC71+LFO1 Link Op4 Decay+(64-65),CC71+LFO1 Link Op4 Sustain Rate+(66-67),CC71+LFO1 Link Op4 Sustain+(68-69),CC71+LFO1 Link Op4 Release+(70-71),CC71+LFO1 Link LFO1 Rate+(72-73),CC71+LFO1 Link LFO1 Depth+(74-75),CC71+LFO1 Link LFO2 Rate+(76-77),CC71+LFO1 Link LFO2 Depth+(78-79),CC71+LFO1 Link LFO3 Rate+(80-81),CC71+LFO1 Link LFO3 Depth+(82-83),CC71+LFO1 Link Algorithm+(84-85),CC71+LFO1 Link Feedback+(86-87),CC71+LFO1 Link Unused 44+(88-89),CC71+LFO1 Link Unused 45+(90-91),CC71+LFO1 Link Arp Rate+(92-93),CC71+LFO1 Link Arp Range+(94-95),CC71+LFO1 Link Vibrato Rate+(96-97),CC71+LFO1 Link Vibrato Depth+(98-99),CC71+LFO1 Link Fat+(100-101),CC72+LFO2 Link Op1 Detune+(0-1),CC72+LFO2 Link Op1 Multiple+(2-3),CC72+LFO2 Link Op1 Level+(4-5),CC72+LFO2 Link Op1 Attack+(8-9),CC72+LFO2 Link Op1 Decay+(10-11),CC72+LFO2 Link Op1 Sustain Rate+(12-13),CC72+LFO2 Link Op1 Sustain+(14-15),CC72+LFO2 Link Op1 Release+(16-17),CC72+LFO2 Link Op3 Detune+(18-19),CC72+LFO2 Link Op3 Multiple+(20-21),CC72+LFO2 Link Op3 Level+(22-23),CC72+LFO2 Link Op3 Attack+(26-27),CC72+LFO2 Link Op3 Decay+(28-29),CC72+LFO2 Link Op3 Sustain Rate+(30-31),CC72+LFO2 Link Op3 Sustain+(32-33),CC72+LFO2 Link Op3 Release+(34-35),CC72+LFO2 Link Op2 Detune+(36-37),CC72+LFO2 Link Op2 Multiple+(38-39),CC72+LFO2 Link Op2 Level+(40-41),CC72+LFO2 Link Op2 Attack+(44-45),CC72+LFO2 Link Op2 Decay+(46-47),CC72+LFO2 Link Op2 Sustain Rate+(48-49),CC72+LFO2 Link Op2 Sustain+(50-51),CC72+LFO2 Link Op2 Release+(52-53),CC72+LFO2 Link Op4 Detune+(54-55),CC72+LFO2 Link Op4 Multiple+(56-57),CC72+LFO2 Link Op4 Level+(58-59),CC72+LFO2 Link Op4 Attack+(62-63),CC72+LFO2 Link Op4 Decay+(64-65),CC72+LFO2 Link Op4 Sustain Rate+(66-67),CC72+LFO2 Link Op4 Sustain+(68-69),CC72+LFO2 Link Op4 Release+(70-71),CC72+LFO2 Link LFO1 Rate+(72-73),CC72+LFO2 Link LFO1 Depth+(74-75),CC72+LFO2 Link LFO2 Rate+(76-77),CC72+LFO2 Link LFO2 Depth+(78-79),CC72+LFO2 Link LFO3 Rate+(80-81),CC72+LFO2 Link LFO3 Depth+(82-83),CC72+LFO2 Link Algorithm+(84-85),CC72+LFO2 Link Feedback+(86-87),CC72+LFO2 Link Unused 44+(88-89),CC72+LFO2 Link Unused 45+(90-91),CC72+LFO2 Link Arp Rate+(92-93),CC72+LFO2 Link Arp Range+(94-95),CC72+LFO2 Link Vibrato Rate+(96-97),CC72+LFO2 Link Vibrato Depth+(98-99),CC72+LFO2 Link Fat+(100-101),CC73+LFO3 Link Op1 Detune+(0-1),CC73+LFO3 Link Op1 Multiple+(2-3),CC73+LFO3 Link Op1 Level+(4-5),CC73+LFO3 Link Op1 Attack+(8-9),CC73+LFO3 Link Op1 Decay+(10-11),CC73+LFO3 Link Op1 Sustain Rate+(12-13),CC73+LFO3 Link Op1 Sustain+(14-15),CC73+LFO3 Link Op1 Release+(16-17),CC73+LFO3 Link Op3 Detune+(18-19),CC73+LFO3 Link Op3 Multiple+(20-21),CC73+LFO3 Link Op3 Level+(22-23),CC73+LFO3 Link Op3 Attack+(26-27),CC73+LFO3 Link Op3 Decay+(28-29),CC73+LFO3 Link Op3 Sustain Rate+(30-31),CC73+LFO3 Link Op3 Sustain+(32-33),CC73+LFO3 Link Op3 Release+(34-35),CC73+LFO3 Link Op2 Detune+(36-37),CC73+LFO3 Link Op2 Multiple+(38-39),CC73+LFO3 Link Op2 Level+(40-41),CC73+LFO3 Link Op2 Attack+(44-45),CC73+LFO3 Link Op2 Decay+(46-47),CC73+LFO3 Link Op2 Sustain Rate+(48-49),CC73+LFO3 Link Op2 Sustain+(50-51),CC73+LFO3 Link Op2 Release+(52-53),CC73+LFO3 Link Op4 Detune+(54-55),CC73+LFO3 Link Op4 Multiple+(56-57),CC73+LFO3 Link Op4 Level+(58-59),CC73+LFO3 Link Op4 Attack+(62-63),CC73+LFO3 Link Op4 Decay+(64-65),CC73+LFO3 Link Op4 Sustain Rate+(66-67),CC73+LFO3 Link Op4 Sustain+(68-69),CC73+LFO3 Link Op4 Release+(70-71),CC73+LFO3 Link LFO1 Rate+(72-73),CC73+LFO3 Link LFO1 Depth+(74-75),CC73+LFO3 Link LFO2 Rate+(76-77),CC73+LFO3 Link LFO2 Depth+(78-79),CC73+LFO3 Link LFO3 Rate+(80-81),CC73+LFO3 Link LFO3 Depth+(82-83),CC73+LFO3 Link Algorithm+(84-85),CC73+LFO3 Link Feedback+(86-87),CC73+LFO3 Link Unused 44+(88-89),CC73+LFO3 Link Unused 45+(90-91),CC73+LFO3 Link Arp Rate+(92-93),CC73+LFO3 Link Arp Range+(94-95),CC73+LFO3 Link Vibrato Rate+(96-97),CC73+LFO3 Link Vibrato Depth+(98-99),CC73+LFO3 Link Fat+(100-101),CC-1+fmBase[44] (unused)+(N/A),CC-1+fmBase[45] (unused)+(N/A),CC-1+v4 Preset Flag+(N/A),CC-1+Seq Length+(N/A),CC-1+Seq[0]+(N/A),CC-1+Seq[1]+(N/A),CC-1+Seq[2]+(N/A),CC-1+Seq[3]+(N/A),CC-1+Seq[4]+(N/A),CC-1+Seq[5]+(N/A),CC-1+Seq[6]+(N/A),CC-1+Seq[7]+(N/A),CC-1+Seq[8]+(N/A),CC-1+Seq[9]+(N/A),CC-1+Seq[10]+(N/A),CC-1+Seq[11]+(N/A),CC-1+Seq[12]+(N/A),CC-1+Seq[13]+(N/A),CC-1+Seq[14]+(N/A),CC-1+Seq[15]+(N/A),CC-1+Padding Byte+(N/A)
22,48,8,10,32,52,8,104,96,80,96,63,0,32,24,64,88,64,112,55,112,0,24,104,88,96,112,103,108,0,24,84,88,128,3,96,6,93,15,7,15,0,96,15,0,0,20,0,Poly12,0,0,1,0,1,0,Off,0,Off,0,Off,2,Ping Pong,0,Off,0,Square,0,0,0,Square,0,0,4,Inv Saw,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A
23,32,56,0,40,72,8,28,64,0,0,11,100,76,24,44,0,16,40,7,44,0,8,0,120,48,112,0,28,84,16,0,120,128,3,32,20,16,0,15,7,15,0,3,15,0,0,4,Wide4,0,0,3,0,1,0,Off,0,Off,1,Forward,1,Forward,0,Off,1,Inv Square,0,0,0,Square,0,1,1,Inv Square,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A
24,16,24,15,40,48,8,44,8,0,0,11,92,76,16,0,120,16,112,8,44,28,8,0,120,48,112,0,0,108,16,0,16,128,3,32,127,16,0,15,7,15,0,3,15,0,0,0,Poly12,0,0,1,0,1,0,Off,0,Off,1,Forward,1,Forward,0,Off,1,Inv Square,0,0,0,Square,0,1,1,Inv Square,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A
25,32,112,15,72,60,56,0,32,112,24,55,124,84,16,68,112,112,40,117,24,124,56,8,8,48,120,15,96,124,24,124,120,120,7,80,0,31,127,0,27,33,71,0,0,0,0,3,Unison,0,1,3,3,1,1,Forward,1,Forward,1,Forward,1,Forward,1,Up,2,Triangle,0,0,1,Inv Square,0,0,1,Inv Square,0,0,56,60,0,0,0,0,0,0,1,1,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,15,11,0,0,127,130,134,137,139,137,134,132,0,134,137,130,129,125,N/A
26,48,88,53,0,0,40,0,32,112,80,114,64,36,16,68,112,80,48,119,108,84,48,0,112,48,120,0,76,124,24,0,32,120,7,112,0,31,112,0,27,33,71,0,0,0,0,3,Unison,0,0,2,2,0,0,Off,1,Forward,1,Forward,1,Forward,1,Up,2,Triangle,0,0,1,Inv Square,0,0,1,Inv Square,0,0,56,60,0,1,0,0,0,0,1,1,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,14,11,0,0,127,130,134,137,139,137,134,132,0,134,137,130,129,125,N/A
27,80,24,40,0,96,0,120,0,48,120,112,88,76,16,112,72,16,40,103,124,124,16,0,104,48,120,0,124,60,24,0,104,112,1,0,74,31,120,0,0,0,0,0,0,0,0,1,Wide6,0,0,3,2,0,0,Off,1,Forward,1,Forward,1,Forward,0,Off,1,Inv Square,0,0,1,Inv Square,0,0,1,Inv Square,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A
28,32,56,35,120,64,56,32,32,80,96,95,68,76,16,68,112,112,40,127,8,104,40,0,72,48,88,14,8,80,8,0,80,120,8,112,0,11,63,0,27,33,71,0,0,0,0,3,Unison,0,1,2,0,1,1,Forward,0,Off,1,Forward,0,Off,1,Up,2,Triangle,0,0,0,Square,0,0,1,Inv Square,0,0,56,60,0,1,0,0,0,0,1,1,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,5,11,0,0,127,130,134,137,139,137,134,132,0,134,137,130,129,125,N/A
29,0,80,43,0,0,8,4,80,48,88,87,72,124,24,8,0,16,48,49,92,84,24,104,104,48,88,110,28,108,24,60,40,128,1,32,48,29,89,15,7,15,0,3,15,0,0,0,Poly12,0,0,0,2,3,0,Off,1,Forward,1,Forward,1,Forward,0,Off,0,Square,0,0,1,Inv Square,0,0,0,Square,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A
30,16,40,0,36,16,0,124,120,16,72,97,68,76,24,124,0,16,40,72,28,108,8,16,72,48,72,8,64,80,24,112,0,128,8,112,45,28,84,127,127,127,61,3,15,0,0,0,Poly12,0,0,0,2,0,0,Off,0,Off,1,Forward,1,Forward,0,Off,0,Square,0,0,1,Inv Square,0,1,1,Inv Square,0,0,0,0,0,1,0,0,0,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,12,1,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A
31,16,80,13,0,0,8,0,64,16,120,96,124,76,24,68,120,16,48,7,0,104,0,0,0,48,120,112,56,124,0,0,0,128,1,0,0,15,88,0,0,0,0,0,0,0,0,0,Poly12,0,0,0,2,2,0,Off,0,Off,1,Forward,0,Off,0,Off,0,Square,0,0,0,Square,0,0,1,Inv Square,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A
32,64,120,10,32,36,8,20,112,32,0,63,64,100,24,76,96,0,0,21,28,124,24,124,120,32,0,63,64,124,24,124,104,128,1,0,0,30,31,120,0,0,0,2,0,0,18,0,Poly12,2,0,3,3,3,0,Off,1,Forward,1,Forward,1,Forward,0,Off,0,Square,0,0,1,Inv Square,0,0,0,Square,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A
33,32,112,1,4,0,0,56,8,48,104,59,92,108,16,0,16,16,80,28,68,120,24,116,80,48,0,59,56,28,16,112,120,128,1,0,0,26,29,89,15,7,15,0,3,15,0,0,Poly12,0,0,0,3,3,0,Off,1,Forward,0,Off,1,Forward,0,Off,5,Random Inf,1,0,0,Square,0,0,2,Triangle,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A
34,64,80,29,0,0,32,40,120,80,16,95,0,100,0,112,0,64,88,95,64,56,40,20,64,16,16,31,64,28,24,112,48,8,2,32,0,21,31,120,56,56,12,3,0,0,0,0,Poly12,2,0,3,3,0,0,Off,1,Forward,1,Forward,0,Off,0,Off,0,Square,0,0,0,Square,0,1,1,Inv Square,0,0,56,61,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,249,2,14,14,0,0,0,127,130,134,137,139,137,134,132,0,134,137,130,129,N/A
35,64,120,64,28,0,32,40,120,80,16,95,0,124,16,112,0,64,88,95,64,56,40,40,64,48,16,63,64,28,24,72,48,8,2,32,0,21,31,120,37,90,58,3,0,0,0,0,Poly12,2,0,3,3,0,0,Off,1,Forward,1,Forward,0,Off,0,Off,0,Square,0,0,0,Square,0,0,0,Square,0,0,56,61,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,249,2,12,14,0,0,0,127,130,134,137,139,137,134,132,0,134,137,130,129,N/A
36,64,96,47,28,40,32,24,0,80,16,95,0,76,8,76,8,64,88,73,64,56,40,104,88,0,112,3,0,56,16,76,120,8,7,96,0,31,31,120,0,27,33,1,0,0,0,0,Poly12,2,0,3,3,3,0,Off,1,Forward,1,Forward,1,Forward,0,Off,0,Square,0,1,3,Saw,0,0,1,Inv Square,0,0,56,61,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,21,4,8,14,0,0,0,127,130,134,137,139,137,134,132,0,134,137,130,129,N/A
37,64,104,33,40,40,32,24,24,80,16,95,0,100,24,104,104,80,120,73,92,28,40,92,104,32,112,63,64,28,24,76,96,8,7,112,0,31,31,120,0,27,33,1,0,0,0,6,Unknown,2,0,3,3,3,0,Off,1,Forward,1,Forward,1,Forward,0,Off,3,Saw,0,0,0,Square,0,0,0,Square,0,0,56,61,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,199,4,14,14,0,0,0,127,130,134,137,139,137,134,132,0,134,137,130,129,N/A
38,64,112,30,28,0,64,16,24,32,72,62,80,16,120,76,72,16,32,21,84,120,16,124,0,112,32,112,12,124,24,84,16,113,8,0,12,17,29,122,95,126,116,0,69,4,12,4,Wide4,2,0,3,2,0,0,Off,0,Off,0,Off,2,Ping Pong,0,Off,2,Triangle,0,0,2,Triangle,0,0,5,Random Inf,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,7,11,10,33,128,128,22,15,2,13,11,3,17,22,23,1,21,11,4,N/A
